study_hours,attendance_percentage,sleep_hours,previous_exam_score,internet_access,parental_education,extracurricular_activity,part_time_job,motivation_level,final_score
2.5,57.0,6.0,42,No,Primary,No,Yes,Low,38
6.0,82.0,7.0,70,Yes,Graduate,No,No,Medium,72
4.5,70.0,6.5,57,No,HighSchool,Yes,Yes,Low,52
7.0,88.0,8.0,80,Yes,Graduate,Yes,No,High,84
5.0,,7.0,63,Yes,High School,No,No,Medium,65
3.5,66.0,6.0,51,No,Primary,No,Yes,Low,47
8.5,97.0,8.5,94,Yes,Postgraduate,Yes,No,High,98
2.0,53.0,5.5,38,No,Primary,No,Yes,Low,35
6.5,86.0,7.5,77,Yes,Graduate,Yes,No,High,83
4.0,73.0,6.0,60,No,High School,No,Yes,Medium,56
7.5,93.0,8.0,86,Yes,Postgraduate,Yes,No,High,91
3.0,63.0,5.5,48,No,Primary,No,Yes,Low,42
5.5,79.0,7.0,68,Yes,High School,Yes,No,Medium,69
8.0,96.0,7.5,91,Yes,Postgraduate,Yes,No,High,95
,58.0,6.0,43,No,Primary,No,Yes,Low,39
6.0,83.0,7.0,71,Yes,Graduate,No,No,Medium,73
4.5,71.0,6.5,58,No,High School,Yes,Yes,Low,53
7.0,89.0,8.0,81,Yes,Graduate,Yes,No,High,85
5.0,76.0,7.0,64,Yes,High School,No,No,Medium,66
3.5,67.0,6.0,52,No,Primary,No,Yes,Low,48
8.5,98.0,8.5,95,Yes,Postgraduate,Yes,No,High,99
2.0,54.0,5.5,39,No,Primary,No,Yes,Low,36
6.5,87.0,7.5,78,Yes,Graduate,Yes,No,High,84
4.0,74.0,6.0,61,No,High School,No,Yes,Medium,57
7.5,94.0,8.0,87,Yes,Postgraduate,Yes,No,High,92
3.0,64.0,5.5,49,No,Primary,No,Yes,Low,43
5.5,80.0,7.0,69,Yes,High School,Yes,No,Medium,70
8.0,,7.5,92,Yes,Postgraduate,Yes,No,High,96
2.5,59.0,6.0,44,No,Primary,No,Yes,Low,40
6.0,84.0,7.0,72,Yes,Graduate,No,No,Medium,74
4.5,72.0,6.5,59,No,High School,Yes,Yes,Low,54
7.0,90.0,8.0,82,Yes,Graduate,Yes,No,High,86
5.0,77.0,7.0,65,Yes,High School,No,No,Medium,67
,68.0,6.0,53,No,Primary,No,Yes,Low,49
8.5,99.0,8.5,96,Yes,Postgraduate,Yes,No,High,100
2.0,55.0,5.5,40,No,Primary,No,Yes,Low,37
6.5,88.0,7.5,79,Yes,Graduate,Yes,No,High,85
4.0,75.0,6.0,62,No,High School,No,Yes,Medium,58
7.5,95.0,8.0,88,Yes,Postgraduate,Yes,No,High,93
3.0,65.0,5.5,50,No,Primary,No,Yes,Low,44
5.5,81.0,7.0,70,Yes,High School,Yes,No,Medium,71
8.0,98.0,7.5,93,Yes,Postgraduate,Yes,No,High,97
,60.0,6.0,45,No,Primary,No,Yes,Low,41
6.0,85.0,7.0,73,Yes,Graduate,No,No,Medium,75
4.5,73.0,6.5,60,No,High School,Yes,Yes,Low,55
7.0,91.0,8.0,83,Yes,Graduate,Yes,No,High,87
5.0,78.0,7.0,66,Yes,High School,No,No,Medium,68
3.5,69.0,6.0,54,No,Primary,No,Yes,Low,50
8.5,100.0,8.5,97,Yes,Postgraduate,Yes,No,High,100
2.0,56.0,5.5,41,No,Primary,No,Yes,Low,38
6.5,89.0,7.5,80,Yes,Graduate,Yes,No,High,86
4.0,76.0,6.0,63,No,High School,No,Yes,Medium,59
7.5,96.0,8.0,89,Yes,Postgraduate,Yes,No,High,94
3.0,66.0,5.5,51,No,Primary,No,Yes,Low,45
5.5,82.0,7.0,71,Yes,High School,Yes,No,Medium,72
8.0,99.0,7.5,94,Yes,Postgraduate,Yes,No,High,98
2.5,61.0,6.0,46,No,Primary,No,Yes,Low,42
6.0,86.0,7.0,74,Yes,Graduate,No,No,Medium,76
4.5,74.0,6.5,61,No,High School,Yes,Yes,Low,56
7.0,92.0,8.0,84,Yes,Graduate,Yes,No,High,88
5.0,79.0,7.0,67,Yes,High School,No,No,Medium,69
3.5,70.0,6.0,55,No,Primary,No,Yes,Low,51
8.5,100.0,8.5,98,Yes,Postgraduate,Yes,No,High,100
2.0,57.0,5.5,42,No,Primary,No,Yes,Low,39
6.5,90.0,,81,Yes,Graduate,Yes,No,High,87
4.0,77.0,6.0,64,No,High School,No,Yes,Medium,60
7.5,97.0,8.0,90,Yes,Postgraduate,Yes,No,High,95
3.0,67.0,5.5,52,No,Primary,No,Yes,Low,46
5.5,83.0,7.0,72,Yes,High School,Yes,No,Medium,73
8.0,100.0,7.5,95,Yes,Postgraduate,Yes,No,High,99
2.5,62.0,6.0,47,No,Primary,No,Yes,Low,43
6.0,87.0,7.0,75,Yes,Graduate,No,No,Medium,77
4.5,75.0,6.5,62,No,High School,Yes,Yes,Low,57
7.0,93.0,8.0,85,Yes,Graduate,Yes,No,High,89
5.0,80.0,7.0,68,Yes,High School,No,No,Medium,70
3.5,71.0,6.0,56,No,Primary,No,Yes,Low,52
9.0,100.0,8.5,99,Yes,Postgraduate,Yes,No,High,100
2.0,58.0,5.5,43,No,Primary,No,Yes,Low,40
6.5,91.0,7.5,82,Yes,Graduate,Yes,No,High,88
4.0,78.0,6.0,65,No,High School,No,Yes,Medium,61
7.5,98.0,8.0,91,Yes,Postgraduate,Yes,No,High,96
,68.0,5.5,53,No,Primary,No,Yes,Low,47
5.5,84.0,7.0,73,Yes,High School,Yes,No,Medium,74
8.0,100.0,7.5,96,Yes,Postgraduate,Yes,No,High,100
2.5,63.0,6.0,48,No,Primary,No,Yes,Low,44
6.0,88.0,7.0,76,Yes,Graduate,No,No,Medium,78
4.5,76.0,6.5,63,No,High School,Yes,Yes,Low,58
7.0,94.0,8.0,86,Yes,Graduate,Yes,No,High,90
5.0,81.0,7.0,69,Yes,High School,No,No,Medium,71
5.5,77.5,7.0,66,Yes,High School,No,Yes,Medium,60
3.0,58.0,,44,No,Primary,No,Yes,Low,39
6.0,83.0,7.0,72,Yes,Graduate,Yes,No,Medium,74
4.0,69.0,6.5,56,No,High School,No,Yes,Low,50
7.0,89.0,8.0,80,Yes,Graduate,Yes,No,High,84
5.5,76.0,7.0,65,Yes,High School,Yes,No,Medium,67
3.5,62.0,6.0,48,No,Primary,No,Yes,Low,43
8.0,94.0,7.5,88,Yes,Postgraduate,Yes,No,High,92
2.5,54.0,5.5,39,No,Primary,No,Yes,Low,35
6.5,84.0,7.5,75,Yes,Graduate,Yes,No,High,80
4.5,71.0,6.5,57,No,High School,Yes,Yes,Low,51
7.5,91.0,8.0,84,Yes,Postgraduate,Yes,No,High,89
3.0,61.0,5.5,47,No,Primary,No,Yes,Low,41
5.0,75.0,7.0,63,Yes,High School,No,No,Medium,65
8.5,97.0,8.5,93,Yes,Postgraduate,Yes,No,High,97
2.0,52.0,5.5,37,No,Primary,No,Yes,Low,33
6.0,82.0,7.0,70,Yes,Graduate,No,No,Medium,72
4.0,70.0,6.0,57,No,High School,No,Yes,Medium,53
7.0,88.0,8.0,79,Yes,Graduate,Yes,No,High,83
5.5,78.0,7.0,67,Yes,High School,Yes,No,Medium,68
,65.0,6.0,51,No,Primary,No,Yes,Low,46
8.0,95.0,7.5,90,Yes,Postgraduate,Yes,No,High,94
2.5,56.0,6.0,41,No,Primary,No,Yes,Low,37
6.5,85.0,7.5,76,Yes,Graduate,Yes,No,High,82
4.5,72.0,6.5,58,No,High School,Yes,Yes,Low,52
7.5,92.0,8.0,85,Yes,Postgraduate,Yes,No,High,90
3.0,62.0,5.5,47,No,Primary,No,Yes,Low,41
5.0,76.0,7.0,64,Yes,High School,No,No,Medium,66
8.5,98.0,8.5,94,Yes,Postgraduate,Yes,No,High,98
2.0,53.0,5.5,38,No,Primary,No,Yes,Low,34
6.0,83.0,7.0,71,Yes,Graduate,No,No,Medium,73
4.0,71.0,6.0,58,No,High School,No,Yes,Medium,54
7.0,89.0,8.0,80,Yes,Graduate,Yes,No,High,84
5.5,79.0,7.0,68,Yes,High School,Yes,No,Medium,69
3.5,66.0,6.0,52,No,Primary,No,Yes,Low,48
8.0,96.0,7.5,91,Yes,Postgraduate,Yes,No,High,95
,57.0,6.0,42,No,Primary,No,Yes,Low,38
6.5,86.0,7.5,77,Yes,Graduate,Yes,No,High,83
4.5,73.0,6.5,59,No,High School,Yes,Yes,Low,53
7.5,93.0,8.0,86,Yes,Postgraduate,Yes,No,High,91
3.0,63.0,5.5,48,No,Primary,No,Yes,Low,42
5.0,77.0,7.0,65,Yes,High School,No,No,Medium,67
8.5,99.0,8.5,95,Yes,Postgraduate,Yes,No,High,99
2.0,54.0,5.5,39,No,Primary,No,Yes,Low,35
6.0,84.0,7.0,72,Yes,Graduate,No,No,Medium,74
4.0,72.0,6.0,59,No,High School,No,Yes,Medium,55
7.0,90.0,8.0,81,Yes,Graduate,Yes,No,High,85
5.5,80.0,7.0,69,Yes,High School,Yes,No,Medim,70
3.5,67.0,6.0,53,No,Primary,No,Yes,Low,49
8.0,97.0,7.5,92,Yes,Postgraduate,Yes,No,High,96
,58.0,6.0,43,No,Primary,No,Yes,Low,39
6.5,87.0,7.5,78,Yes,Graduate,Yes,No,High,84
4.5,74.0,6.5,60,No,High School,Yes,Yes,Low,54
7.5,94.0,8.0,87,Yes,Postgraduate,Yes,No,High,92
3.0,64.0,5.5,49,No,Primary,No,Yes,Low,43
5.0,78.0,7.0,66,Yes,High School,No,No,Medium,68
8.5,100.0,8.5,96,Yes,Postgraduate,Yes,No,High,100
2.5,59.0,6.0,44,No,Primary,No,Yes,Low,40
6.0,85.0,7.0,73,Yes,Graduate,No,No,Medium,75
4.0,73.0,6.0,60,No,High School,No,Yes,Medium,56
7.0,91.0,8.0,82,Yes,Graduate,Yes,No,High,86
5.5,81.0,7.0,70,Yes,High School,Yes,No,Medium,71
3.5,68.0,6.0,54,No,Primary,No,Yes,Low,50
8.0,98.0,7.5,93,Yes,Postgraduate,Yes,No,High,97
2.0,55.0,5.5,40,No,Primary,No,Yes,Low,36
6.5,88.0,,79,Yes,Graduate,Yes,No,High,85
4.5,75.0,6.5,61,No,High School,Yes,Yes,Low,55
7.5,95.0,8.0,88,Yes,Postgraduate,Yes,No,High,93
3.0,65.0,5.5,50,No,Primary,No,Yes,Low,44
5.0,79.0,7.0,67,Yes,High School,No,No,Medium,69
8.5,100.0,8.5,97,Yes,Postgraduate,Yes,No,High,100
2.5,60.0,6.0,45,No,Primary,No,Yes,Low,41
6.0,86.0,7.0,74,Yes,Graduate,No,No,Medium,76
,74.0,6.0,61,No,High School,No,Yes,Medium,57
7.0,92.0,8.0,83,Yes,Graduate,Yes,No,High,87
5.5,82.0,7.0,71,Yes,High School,Yes,No,Medium,72
3.5,69.0,6.0,55,No,Primary,No,Yes,Low,51
8.0,99.0,7.5,94,Yes,Postgraduate,Yes,No,High,98
2.0,56.0,5.5,41,No,Primary,No,Yes,Low,37
6.5,89.0,7.5,80,Yes,Graduate,Yes,No,High,86
4.5,76.0,6.5,62,No,High School,Yes,Yes,Low,56
7.5,96.0,8.0,89,Yes,Postgraduate,Yes,No,High,94
3.0,66.0,5.5,51,No,Primary,No,Yes,Low,45
5.0,80.0,7.0,68,Yes,High School,No,No,Medium,70
8.5,100.0,8.5,98,Yes,Postgraduate,Yes,No,High,100
2.5,61.0,6.0,46,No,Primary,No,Yes,Low,42
6.0,87.0,7.0,75,Yes,Graduate,No,No,Medium,77
4.0,75.0,6.0,62,No,High School,No,Yes,Medium,58
7.0,93.0,8.0,84,Yes,Graduate,Yes,No,High,88
5.5,83.0,7.0,72,Yes,High School,Yes,No,Medium,73
,70.0,6.0,56,No,Primary,No,Yes,Low,52
8.0,100.0,7.5,95,Yes,Postgraduate,Yes,No,High,99
2.0,57.0,5.5,42,No,Primary,No,Yes,Low,38
6.5,90.0,7.5,81,Yes,Graduate,Yes,No,High,87
4.5,77.0,6.5,63,No,High School,Yes,Yes,Low,57
7.5,97.0,8.0,90,Yes,Postgraduate,Yes,No,High,95
3.0,67.0,5.5,52,No,Primary,No,Yes,Low,46
5.0,81.0,7.0,69,Yes,High School,No,No,Medium,71
4.0,68.0,6.0,55,No,High School,No,Yes,Medium,52
6.5,86.0,7.5,77,Yes,Graduate,Yes,No,High,83
5.5,79.5,7.0,67,Yes,High School,Yes,No,Medium,68
3.0,60.5,6.0,46,No,Primary,No,Yes,Low,41
7.5,91.5,8.0,84,Yes,Postgraduate,Yes,No,High,89
,71.0,6.5,57,No,High School,No,Yes,Medium,51
8.0,94.5,7.5,89,Yes,Postgraduate,Yes,No,High,93
2.5,55.5,6.0,40,No,Primary,No,Yes,Low,36
6.0,82.5,7.0,70,Yes,Graduate,No,No,Medium,72
4.5,71.5,6.5,57,No,High School,Yes,Yes,Low,52
7.0,88.5,8.0,80,Yes,Graduate,Yes,No,High,84
5.0,,7.0,63,Yes,High School,No,No,Medium,65
3.5,65.5,6.0,50,No,Primary,No,Yes,Low,46
8.5,97.5,8.5,93,Yes,Postgraduate,Yes,No,High,97
2.0,52.5,5.5,37,No,Primary,No,Yes,Low,33
6.5,85.5,7.5,76,Yes,Graduate,Yes,No,High,82
4.0,72.5,6.0,59,No,High School,No,Yes,Medium,55
7.5,92.5,8.0,85,Yes,Postgraduate,Yes,No,High,90
3.0,62.5,5.5,47,No,Primary,No,Yes,Low,41
5.5,78.5,7.0,67,Yes,Highschool,Yes,No,Medium,68
8.0,95.5,7.5,90,Yes,Postgraduate,Yes,No,High,94
2.5,57.5,6.0,42,No,Primary,No,Yes,Low,38
6.0,83.5,7.0,71,Yes,Graduate,No,No,Medium,73
4.5,72.5,6.5,58,No,High School,Yes,Yes,Low,53
7.0,89.5,8.0,81,Yes,Graduate,Yes,No,High,85
5.0,76.5,7.0,64,Yes,High School,No,No,Medium,66
3.5,66.5,6.0,51,No,Primary,No,Yes,Low,47
8.5,98.5,8.5,94,Yes,Postgraduate,Yes,No,High,98
